transaction_id,product_id,customer_id,transaction_date,online_order,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date
3,37,402,2017-10-16,0,OHM Cycles,Standard,low,medium,1793,248,1999-07-22
5,78,787,2017-10-01,1,Giant Bicycles,Standard,medium,large,1765,709,2015-08-12
16,3,2961,2017-10-10,0,Trek Bicycles,Standard,medium,large,2091,388,2003-09-11
21,27,1582,2017-10-09,0,Trek Bicycles,Standard,medium,medium,499,388,1999-06-25
24,82,515,2017-10-18,0,Giant Bicycles,Road,medium,medium,1538,829,2016-02-06
28,19,76,2017-12-23,0,Trek Bicycles,Mountain,low,medium,574,459,2016-07-11
29,72,3368,2017-10-13,1,Norco Bicycles,Standard,medium,medium,360,270,2016-12-08
38,2,2916,2017-12-06,0,Solex,Standard,medium,medium,71,53,1991-11-09
40,0,2448,2017-11-28,1,Norco Bicycles,Road,medium,medium,544,376,2005-10-24
44,46,165,2017-12-22,0,Solex,Standard,low,medium,1289,74,2003-02-18
52,96,857,2017-11-27,0,Giant Bicycles,Standard,medium,large,1635,993,2007-12-13
53,6,3455,2017-12-21,1,OHM Cycles,Standard,high,medium,227,136,1991-11-09
56,47,3406,2017-11-14,0,Trek Bicycles,Road,low,small,1720,1531,1997-02-11
58,91,1031,2017-11-14,0,Solex,Standard,medium,medium,100,75,1999-07-28
60,60,3473,2017-12-18,0,Giant Bicycles,Standard,high,small,1977,1759,2014-07-30
62,33,1824,2017-12-18,1,Giant Bicycles,Standard,medium,small,1311,1167,1992-10-13
63,35,368,2017-12-17,0,Giant Bicycles,Standard,medium,medium,1403,954,2016-11-16
69,38,1612,2017-10-21,1,Trek Bicycles,Standard,medium,large,2091,388,2012-09-17
78,80,2397,2017-11-07,0,OHM Cycles,Touring,low,medium,1073,933,1998-12-18
80,15,2884,2017-12-16,0,Norco Bicycles,Standard,low,medium,958,748,2005-12-09
81,84,759,2017-10-07,1,Giant Bicycles,Road,medium,medium,792,594,1992-10-04
84,33,3297,2017-11-02,1,Giant Bicycles,Standard,medium,small,1311,1167,1992-10-13
93,33,3470,2017-11-28,1,Giant Bicycles,Standard,medium,small,1311,1167,1999-12-06
94,86,1,2017-12-23,0,OHM Cycles,Standard,medium,medium,235,125,2005-05-12
103,33,788,2017-11-12,0,Giant Bicycles,Standard,medium,small,1311,1167,1992-10-13
105,89,821,2017-10-26,0,WeareA2B,Touring,medium,large,1362,57,2013-06-11
107,79,2710,2017-12-22,0,Norco Bicycles,Standard,medium,medium,1555,818,2003-09-11
108,26,947,2017-10-11,1,WeareA2B,Standard,medium,medium,1992,762,1993-05-28
110,36,1076,2017-11-04,0,Solex,Standard,low,medium,945,507,1995-12-21
112,84,779,2017-10-09,0,Giant Bicycles,Road,medium,medium,792,594,1992-10-04
114,75,455,2017-10-24,1,Giant Bicycles,Touring,medium,large,1873,863,2003-09-11
116,72,2703,2017-11-21,1,Norco Bicycles,Standard,medium,medium,360,270,2011-01-12
121,25,50,2017-12-04,0,Giant Bicycles,Road,medium,medium,1538,829,1992-10-13
122,24,1038,2017-12-01,1,Solex,Road,medium,large,1777,820,1993-05-28
135,84,1788,2017-10-17,0,Giant Bicycles,Road,medium,medium,792,594,2006-05-24
141,10,2728,2017-12-22,0,Solex,Standard,medium,medium,1945,333,2002-09-02
142,46,2053,2017-12-25,0,Solex,Standard,low,medium,1289,74,2012-06-06
144,92,1217,2017-12-20,0,WeareA2B,Touring,medium,large,1890,260,1991-01-23
150,9,3067,2017-11-21,1,OHM Cycles,Road,medium,medium,742,667,1994-09-11
151,31,701,2017-11-11,0,Giant Bicycles,Standard,medium,medium,230,173,2003-03-20
152,92,648,2017-10-16,0,WeareA2B,Standard,medium,small,1415,1259,2000-11-05
155,56,982,2017-11-04,1,Norco Bicycles,Mountain,low,small,688,612,2016-02-06
162,78,371,2017-12-11,0,Giant Bicycles,Standard,medium,large,1765,709,2004-07-27
165,3,2637,2017-10-25,1,Trek Bicycles,Standard,medium,large,2091,388,2005-08-11
166,78,3262,2017-11-27,0,Giant Bicycles,Standard,medium,large,1765,709,2004-07-27
171,100,3121,2017-10-22,0,Norco Bicycles,Road,medium,medium,1036,206,1991-05-08
173,100,2528,2017-11-16,0,Norco Bicycles,Road,medium,medium,1036,206,1991-05-08
174,10,3151,2017-12-17,0,WeareA2B,Touring,medium,medium,1466,363,1994-09-11
175,25,3241,2017-12-23,0,Giant Bicycles,Road,medium,medium,1538,829,2016-11-24
185,91,1711,2017-11-19,0,WeareA2B,Standard,low,medium,642,513,2004-07-27
186,17,2582,2017-11-08,1,Solex,Standard,high,medium,1024,614,1996-11-11
190,37,1435,2017-11-27,1,OHM Cycles,Standard,low,medium,1793,248,2011-05-11
195,81,276,2017-12-27,0,Norco Bicycles,Standard,medium,small,586,521,1991-07-12
196,19,1315,2017-12-21,1,OHM Cycles,Road,high,large,12,7,1999-06-25
213,82,520,2017-12-14,0,Norco Bicycles,Standard,high,medium,1148,689,2015-08-12
216,72,352,2017-11-29,1,Norco Bicycles,Standard,medium,medium,360,270,2016-12-08
219,2,3307,2017-11-13,0,Giant Bicycles,Road,low,small,590,525,2010-11-07
223,2,2698,2017-11-30,0,Giant Bicycles,Road,low,small,590,525,2010-11-07
230,86,681,2017-12-23,1,OHM Cycles,Standard,medium,medium,235,125,2013-06-11
238,12,3099,2017-10-08,0,WeareA2B,Standard,medium,medium,1231,161,1994-09-11
239,61,1645,2017-10-01,1,OHM Cycles,Standard,low,medium,71,56,2015-05-23
240,21,546,2017-11-23,0,Solex,Standard,medium,large,1071,380,1991-11-12
242,57,2740,2017-12-04,0,WeareA2B,Touring,medium,large,1890,260,1998-12-19
243,63,3166,2017-11-13,1,Solex,Standard,medium,medium,1483,99,1998-12-19
244,63,3487,2017-12-20,1,WeareA2B,Standard,medium,medium,1992,762,1993-05-28
250,48,1454,2017-11-25,0,WeareA2B,Standard,medium,medium,1762,950,1997-02-11
252,78,3089,2017-12-03,0,Giant Bicycles,Standard,medium,large,1765,709,2013-09-18
253,2,3123,2017-12-30,0,Giant Bicycles,Road,low,small,590,525,2010-11-07
256,13,1580,2017-10-22,1,Solex,Standard,medium,medium,1577,826,2011-03-18
260,31,3393,2017-12-28,0,Giant Bicycles,Standard,medium,medium,230,173,2011-03-18
263,53,3405,2017-10-22,1,OHM Cycles,Standard,medium,medium,795,101,2000-05-24
266,44,3467,2017-11-07,1,WeareA2B,Standard,medium,medium,1769,108,2011-05-11
